dt_property,required,data_type,source_priority_1,source_priority_2,source_priority_3,notes
asset_id,yes,string,CustomHandoverPset.AssetIdentifier,IfcElement.Tag,IfcRoot.GlobalId,Must be unique at project level
asset_name,yes,string,IfcRoot.Name,CustomHandoverPset.AssetName,TypeObject.Name,Human-readable asset name
asset_type,yes,string,CustomHandoverPset.AssetType,TypeObject.ObjectType,MapFromIfcClass,Operational classification
ifc_class,yes,string,IFCNative.EntityClass,,,Value from entity.is_a()
system,conditional,string,CustomHandoverPset.System,SystemAssignment.Name,MapFromDiscipline,Required for MEP and system assets
location,yes,string,SpatialHierarchy.Path,CustomHandoverPset.Location,,Concatenated location path
floor,yes,string,IfcBuildingStorey.Name,CustomHandoverPset.Floor,,Minimum spatial requirement
room_zone,recommended,string,IfcSpace.Name,ZoneAssignment.Name,CustomHandoverPset.RoomZone,Use zone if room is unavailable
manufacturer,recommended,string,TypeIdentity.Manufacturer,CustomHandoverPset.Manufacturer,,Strongly recommended for maintainable assets
model,recommended,string,TypeIdentity.Model,Reference,TypeObject.Name,Can come from model/type reference
serial_number,recommended,string,CustomHandoverPset.SerialNumber,RevitOther.SerialNumber,,Required for serviceable equipment
warranty,recommended,object/string,CustomHandoverPset.Warranty,RevitOther.WarrantyStartDate,WarrantyPset.Duration,Split into dates/provider where possible
maintenance_info,recommended,object/string,CustomHandoverPset.MaintenanceInfo,OMManual.ManualLink,MaintenancePset.Interval,Prefer normalized structure
status,yes,string,CustomHandoverPset.Status,OperationalStatus,PhaseCreated,Use approved enum values only
